player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst
Cheetosrule		929	240	-25	247	334	275	245	1546	28	1918	206	61	484	90	15	71	45	42	6	30	2	68	66	0	6279
gg!		809	280	-46	171	429	417	383	3586	32	525	136	50	574	116	50	113	66	100	9	37	1	33	27	3	8307
pulpo		98	40	-5	29	75	57	55	250	2	175	14	14	90	24	2	10	6	14	1	6	0	1	2	0	1038
HarkMollis	SNI	1275	279	34	431	259	207	187	1080	17	3768	379	76	575	67	4	70	49	62	6	14	0	146	127	2	7031
Alphachurro	SNI	1130	279	34	307	224	136	125	873	9	4706	273	75	575	41	11	43	28	44	3	12	1	133	109	1	7031
fender	SNI	1108	279	34	214	482	484	425	3723	53	749	150	89	575	127	37	150	108	122	16	35	2	51	37	1	7031
BALLDON'TLIE	MBM	1015	280	-7	247	452	426	384	2530	39	1330	185	90	576	137	21	101	76	83	10	45	3	56	47	4	7303
Davion	MBM	254	80	-16	69	130	113	98	624	13	226	52	19	180	29	2	25	16	25	4	5	1	11	9	1	2393
St. Bernard	MBM	1095	280	-25	380	202	119	107	1016	10	4235	346	42	576	31	15	36	20	29	2	2	0	125	126	3	7891
CarrotCake	MBM	1072	280	-7	372	262	198	179	1143	16	3840	296	65	576	62	7	54	39	46	5	20	0	148	133	3	7303
ccga4	SNI	948	279	34	214	399	379	340	2566	36	1222	159	68	575	95	10	110	81	125	14	33	4	44	33	1	7031
no name	QUE	843	280	-26	208	463	410	382	2102	23	1029	155	68	576	156	10	86	50	69	1	30	0	44	44	4	6820
mex	QUE	1350	280	-26	541	157	99	87	541	9	4436	474	102	576	32	2	32	23	19	4	11	0	219	201	2	6820
glob.		1114	279	44	350	335	269	245	1707	19	2940	273	83	576	79	17	87	60	50	7	38	0	92	81	6	7374
d0pe	QUE	747	280	-5	156	458	386	362	2560	22	619	110	62	576	95	23	95	64	64	5	36	0	21	22	6	7365
Ball-erina	PKP	1027	280	44	180	440	440	381	3006	52	860	139	58	576	118	23	120	86	121	17	36	7	39	35	3	7374
DT	PKP	1081	279	44	324	361	302	271	1893	29	2051	235	83	576	87	13	92	55	70	10	25	3	77	67	4	7374
FalleN	QUE	492	120	-14	175	97	68	61	387	5	1431	141	39	268	19	2	22	17	24	3	8	0	39	42	2	3482
Agency	PKP	1219	280	44	421	204	157	135	1010	17	4274	371	58	576	39	5	40	30	48	6	17	0	157	149	0	7374
Will KO Anka		348	140	-33	100	233	200	188	1323	9	540	95	28	286	63	14	64	50	39	2	18	1	31	26	0	4126
Xile	MIA	982	240	12	310	242	173	157	1006	11	3619	265	58	486	62	11	45	28	38	3	26	0	115	96	3	6368
Messi	DPS	791	240	-19	141	354	325	297	1791	28	856	107	50	486	114	13	74	51	73	4	20	2	37	32	2	5959
Gasol	2BP	155	40	-5	24	59	56	49	402	5	104	21	16	90	13	4	12	7	17	1	5	0	4	3	0	1065
aardvark	SSC	810	200	-30	315	157	114	105	587	7	2437	266	57	396	44	3	35	21	27	3	20	1	116	96	3	6108
_|_	2BP	138	40	0	29	57	55	47	377	6	121	25	11	90	18	3	14	11	13	0	13	3	6	8	0	1421
Eashy		0	0	3	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	395
waterwheel		0	1	1	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	330
Tantrew		84	40	-5	32	55	44	43	281	1	140	22	9	72	20	4	9	6	11	1	8	0	7	6	1	1256
RemoSlice	SSC	194	60	-3	51	93	85	77	514	7	234	42	13	126	24	4	24	20	19	1	6	1	10	11	1	1887
Deafheaven		175	40	-2	53	23	19	17	113	2	602	49	8	90	5	0	6	4	5	0	2	1	22	18	0	1220
